Blog	water	music	product	general	after	version	started	wrong	pretty	out	comes	ideas	learn	lead	four	course	idea	stop	san	hands	listen	search	word	donald	conference	because	among	took	important	notice	opportunity	twitter	think	across	away	example	value	especially	whole	source	check	final	another	told	mean	far	support	over	nothing	someone	apple	wasn	taking	offer	along	single	having	state	feature	website	taken	continue	times	stuff	results	home	doing	read	need	exactly	bring	say	worked	early	play	than	nbsp	went	world	press	amazing	other	super	enough	until	three	wants	family	come	wanted	marketing	mobile	entire	against	american	got	while	public	actually	why	body	means	create	lost	friends	available	came	watch	simple	work	cost	isn	should	answer	m	off	hit	book	call	happens	pick	place	most	hours	photo	talking	am	she	well	needed	five	black	else	design	following	team	little	open	email	before	event	found	kind	ways	left	party	spent	below	article	today	u	under	million	view	old	decided	others	aren	me	every	level	give	recently	once	car	its	send	personal	add	inside	make	these	technology	though	game	when	research	show	store	number	users	minutes	camera	again	amazon	look	never	use	shot	easy	which	experience	asked	could	message	during	ever	anything	community	real	years	user	feel	too	stories	know	both	popular	people	own	art	project	less	take	similar	did	security	longer	original	young	low	monday	amp	now	change	rather	phone	makes	side	year	talk	business	something	your	anyone	co	couple	week	thousands	social	able	us	everyone	want	must	almost	since	saturday	favorite	created	love	reading	many	remember	tried	his	would	between	company	including	control	working	being	line	com	photos	voice	time	app	day	write	didn	point	earlier	doesn	really	money	simply	different	awesome	then	announced	her	high	only	youtube	re	b	instead	name	several	online	there	ago	words	yet	end	best	service	questions	even	pay	around	down	very	maybe	sure	find	thing	system	worth	big	appeared	up	long	whether	john	companies	like	vote	behind	guy	united	based	local	tools	where	link	everything	always	thanks	major	ll	past	seems	put	saying	part	states	list	stay	group	likely	city	first	late	through	yourself	hear	internet	running	understand	same	web	report	build	video	next	hot	cool	d	starting	features	google	process	via	reports	if	daily	history	question	job	matter	no	large	better	trump	become	still	case	much	learned	happy	posts	such	chance	who	age	microsoft	myself	data	person	fact	things	may	buy	gave	said	does	going	least	update	using	second	see	sometimes	later	good	goes	ask	issues	full	needs	they	had	fun	th	share	network	also	visit	tv	seen	series	hand	space	night	note	save	post	right	great	months	will	tell	track	articles	small	saw	face	into	life	government	two	last	man	involved	some	according	lot	click	building	don	here	few	drive	morning	videos	mind	bit	soon	help	problem	industry	their	finally	yes	hour	so	thought	interesting	those	says	were	done	takes	media	short	services	perhaps	hard	country	human	york	weeks	each	links	making	national	august	key	quickly	coming	turn	him	might	writing	story	gets	e	bad	any	information	let	within	month	blog	them	shows	president	together	x	live	go	house	either	already	top	wrote	keep	future	content	my	deal	recent	looking	try	used	won	called	he	our	get	do	how	computer	piece	probably	order	start	ready	directly	made	clear	latest	news	without	possible	given	move	power	happen	page	changes	run	site	care	half	members	getting	back	events	set	facebook	happened	obama	conversation	ve	please	trying	way	often	days	c	free
	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	1	10	1	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	2	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	3	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10	5	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	12	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	8	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	1	4	0	0	1	0	0	1	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	1	2	0	0	0	0	1	0	1	0	0	2	0	0	4	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0
Kotaku	0	0	0	0	3	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	22	1	0	0	0	1	3	2	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	3	1	1	0	0	0	6	0	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	2	0	2	0	1	0	0	0	8	1	0	0	0	0	0	2	0	2	3	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	1	0	0	1	0	1	1	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	6	2	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	3	0	2	1	2	0	0	0	2	0	2	0	0	1	0	4	0	0	1	0	1	0	0	0	1	0	0	3	1	4	0	1	3	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	1	4	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	1	2	0	0	1	1	0	2	0	0	1	1	0	0	0	0	0	0	1	0	2	4	0	4	2	0	0	1	3	5	0	2	2	4	0	5	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	2	0	2	1	0	0	1	1	3	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	6	4	1	1	0	1	0	1	0	0	0	2	0	0	2	2	0	0	0	1	0	2	2	0	2	1	0	2	0	0	4	0	1	1	1	2	0	1	1	1	2	0	0	0	1
Google Operating System	0	14	5	0	4	2	2	1	1	3	1	0	0	0	0	0	0	1	0	0	5	37	2	0	0	2	0	0	2	0	0	1	1	0	1	5	0	1	0	0	2	0	5	0	0	0	4	2	0	0	1	0	0	0	1	1	2	0	17	2	0	2	0	1	9	6	2	3	8	1	0	1	0	0	13	5	2	0	5	0	0	11	0	0	1	0	0	1	0	0	0	23	2	0	0	3	5	3	1	3	0	1	5	0	0	9	0	0	2	6	0	0	3	4	0	0	0	0	0	1	4	2	6	0	1	0	0	0	4	1	0	0	0	0	0	0	0	8	1	4	3	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	3	3	0	11	1	3	2	0	0	2	16	0	4	0	10	7	1	1	0	2	3	1	17	0	2	3	5	0	0	4	0	1	0	0	3	2	5	0	0	0	1	4	2	3	2	0	0	2	0	2	0	1	11	0	0	0	0	4	25	3	0	5	1	0	5	1	0	1	45	1	0	0	2	0	0	4	2	0	5	1	0	5	0	1	0	1	0	7	1	1	0	0	2	0	1	0	2	0	0	3	16	4	5	17	2	2	1	0	0	6	0	0	0	2	0	3	0	0	0	16	9	18	2	2	1	1	1	13	1	2	0	5	1	0	4	9	0	1	0	2	1	0	6	1	0	0	1	0	1	1	3	1	0	25	0	0	0	0	1	0	0	3	6	0	2	5	0	10	0	0	1	1	2	0	5	0	2	1	0	3	0	1	2	0	2	0	2	3	16	1	2	8	3	0	0	1	0	6	139	0	5	0	18	0	0	0	0	0	11	0	6	0	2	8	0	8	0	0	0	0	0	3	0	1	0	0	0	0	3	1	2	0	0	1	1	1	1	2	0	7	2	4	2	0	3	0	1	0	7	1	0	0	3	1	15	0	2	0	0	0	0	0	5	10	0	7	0	0	32	4	8	2	1	0	0	4	1	0	3	2	0	0	6	0	0	7	0	4	5	3	2	0	5	1	0	1	2	0	0	3	1	1	1	13	0	1	1	1	3	1	0	0	1	7	0	2	0	0	0	0	0	15	0	0	1	0	1	0	2	0	0	0	0	1	0	0	3	3	2	0	0	4	4	9	0	2	0	7	3	1	0	1	1	0	11	1	4	7	0	3	2	1	3	1	4	0	1	10	2	1	3	0	1	1	2	1	2	1	0	2	1	3	0	0	2	0	0	4	0	0	7	0	0	0	0	7	1	1	0	0	0	2	4	1	0	2	1	0	0	0
A Consuming Experience (full feed)	0	0	0	2	12	13	2	2	1	5	0	0	0	1	0	0	0	4	0	0	0	4	21	0	0	13	0	1	0	0	0	0	1	3	0	4	5	1	0	2	5	0	2	0	0	0	1	9	2	0	0	2	2	0	0	2	4	0	0	1	1	3	1	1	0	0	1	2	7	2	0	2	6	0	0	6	29	0	0	7	0	15	0	1	1	0	0	0	0	1	0	0	0	2	0	4	2	0	0	2	0	1	2	0	0	2	2	0	0	12	0	3	11	0	1	1	2	0	0	0	1	1	7	2	0	0	0	0	5	2	0	0	3	0	2	0	0	45	0	13	0	10	1	2	10	0	0	5	0	0	0	1	0	9	5	0	1	0	10	5	2	0	2	4	0	8	0	1	17	3	19	0	0	4	0	17	0	3	3	4	0	4	0	13	2	4	0	22	0	2	14	0	1	7	7	0	0	4	0	1	1	1	1	3	0	3	10	0	8	3	0	1	0	3	1	3	1	3	11	0	1	0	2	12	6	2	0	0	0	0	0	0	6	63	0	1	1	0	0	0	0	0	0	12	1	1	3	0	0	4	1	0	4	1	8	0	5	1	0	1	0	6	0	3	2	0	0	13	0	1	0	4	3	3	7	3	0	0	3	0	38	0	0	0	17	0	10	1	2	13	0	2	23	0	0	3	1	4	1	0	11	0	0	9	2	0	13	9	2	5	3	1	0	20	3	0	0	0	18	0	0	0	0	2	1	5	13	0	3	5	1	0	11	1	5	0	3	0	0	3	0	0	1	0	9	1	1	0	0	3	5	0	15	1	1	0	1	7	0	0	7	3	2	4	2	2	0	56	0	0	0	0	0	11	0	2	0	0	3	6	1	0	0	20	0	0	2	0	4	1	3	0	0	3	13	0	1	0	1	2	4	0	18	0	21	1	3	2	0	0	5	4	0	6	14	0	0	0	2	10	1	2	0	0	0	4	0	7	9	11	12	0	0	15	0	0	0	0	0	0	1	0	0	4	0	0	0	14	0	3	21	0	17	14	1	6	0	0	1	13	1	1	10	0	3	1	5	0	26	0	0	5	1	7	1	3	0	0	2	0	4	0	0	0	0	2	0	0	0	0	6	1	0	0	0	1	0	0	1	4	0	2	0	1	3	0	15	7	1	0	0	3	28	15	0	1	7	9	0	9	1	0	22	0	3	0	13	5	2	4	0	0	17	16	12	10	0	2	1	10	0	0	4	3	0	1	5	4	0	3	0	0	2	2	4	3	1	0	0	1	8	0	5	0	1	0	0	19	5	6	14	0	1	4	5
kottke.org	3	7	1	1	0	2	1	1	0	8	2	0	0	0	0	0	2	2	0	1	0	4	1	5	0	6	2	0	1	0	2	4	3	1	4	3	1	3	1	2	1	1	1	2	2	1	0	5	0	3	2	0	4	0	0	2	3	2	0	1	2	0	3	0	2	0	1	1	2	0	0	1	0	1	6	13	278	1	7	0	1	8	4	1	1	2	0	3	0	0	0	0	2	3	7	2	3	1	4	3	0	4	1	0	4	1	4	4	2	3	0	2	2	0	5	4	1	10	1	1	0	1	8	1	0	1	11	4	5	1	1	0	2	5	0	2	5	0	0	6	0	3	2	3	1	1	1	2	1	4	0	1	2	1	0	0	0	1	10	1	1	3	2	3	4	0	0	0	1	0	6	16	4	2	3	8	0	12	0	4	1	3	1	2	1	3	0	4	2	2	8	1	0	2	1	5	5	3	0	0	4	0	0	2	5	2	2	1	8	5	0	0	1	4	3	6	0	0	0	1	1	0	4	7	3	2	0	4	2	6	3	1	4	11	0	0	2	2	0	0	0	6	0	3	0	4	3	0	3	0	6	7	9	1	0	6	8	5	0	4	0	0	0	2	4	1	3	13	0	2	0	3	2	0	0	3	0	0	4	0	2	0	4	2	2	1	9	1	2	1	1	1	11	2	0	1	6	4	0	0	10	0	2	4	6	1	1	4	2	3	2	2	0	16	2	1	0	0	13	0	0	0	1	1	2	1	6	0	5	4	0	2	1	1	4	2	1	2	4	2	0	2	1	1	3	2	10	1	2	0	1	1	6	3	1	0	39	3	2	0	0	0	1	0	2	14	0	10	0	6	0	3	0	7	1	0	7	3	5	1	3	1	1	0	2	0	7	2	0	0	1	2	0	9	8	0	0	2	3	0	2	11	1	0	6	2	0	7	0	0	1	0	1	19	3	3	4	0	1	22	0	8	2	1	1	2	2	1	1	4	5	7	1	2	0	1	0	1	0	0	9	7	0	5	5	4	2	7	1	1	0	0	5	11	1	0	3	3	1	1	2	1	3	1	18	1	1	1	14	3	2	7	0	9	3	2	0	1	1	7	1	0	4	3	0	2	0	8	0	4	1	2	1	0	3	3	0	3	0	0	2	6	0	3	0	0	1	11	1	3	2	7	1	2	6	2	3	0	6	2	1	0	17	0	5	2	1	4	0	4	9	8	0	7	15	1	0	1	2	2	1	0	8	3	0	0	0	5	2	2	1	0	1	0	1	0	0	0	2	2	4	1	3	1	3	3	0	4	0	0	6	2	3	0	1
Joi Ito's Web	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	3	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	1	4	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	5	0	1	1	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	4	2	1	0	1	0	0	2	1
plasticbag.org	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	0	1	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	1	0	0	0	2	1	0	1	0	2	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	2	0	0	1	2	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	2	0	1	1	0	0	0	1	1	0	0	3	1	2	6	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	1	1	0	5	1	1	0	2	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0
PaulStamatiou.com - Technology, Design and Photography	0	9	13	4	42	15	24	2	11	79	8	6	11	1	3	16	8	3	7	0	3	4	3	0	0	8	0	6	6	2	3	52	23	5	10	13	6	8	11	12	7	2	23	2	3	4	21	42	8	5	3	6	9	1	23	10	24	8	8	69	2	3	19	8	1	19	6	11	59	10	2	7	8	11	11	42	6	7	11	4	2	52	2	20	14	9	1	3	13	30	2	40	7	1	0	24	70	3	31	21	4	6	20	1	4	7	10	3	22	51	6	3	35	3	42	47	8	2	20	6	4	16	26	9	40	6	6	0	39	22	0	2	7	83	3	22	6	16	8	23	4	13	4	4	8	1	3	16	11	2	0	3	3	7	18	11	5	0	61	22	9	8	7	3	4	10	5	6	18	6	42	34	0	25	5	116	7	13	8	25	20	14	25	7	21	50	10	99	2	16	34	16	8	50	4	12	4	16	6	25	13	27	18	29	3	19	11	12	34	36	3	38	12	22	0	25	1	13	5	0	9	0	17	85	17	8	37	10	8	19	3	1	47	223	1	1	0	21	1	1	24	13	6	50	9	6	35	0	5	9	9	11	18	4	2	10	109	23	3	8	24	48	17	27	24	42	28	78	49	19	11	24	18	10	13	15	2	7	7	1	53	3	1	13	113	0	60	11	22	14	9	7	101	11	1	7	19	20	26	13	34	4	44	26	30	3	20	26	17	20	3	9	2	112	15	2	0	0	118	0	9	0	5	6	6	11	36	5	17	17	4	0	50	5	7	30	7	38	6	8	2	9	7	3	60	5	27	3	0	5	23	4	32	23	0	25	64	34	6	3	30	6	9	74	27	21	2	141	5	1	3	6	1	52	8	63	0	2	43	13	88	5	4	10	16	1	2	1	1	8	40	2	1	28	17	5	2	10	20	28	7	19	53	14	33	1	15	25	6	9	18	12	6	76	88	6	0	16	37	73	3	5	4	3	4	4	3	12	5	36	23	21	11	119	13	3	7	15	1	1	61	10	0	30	33	0	2	75	0	8	11	16	41	33	55	20	3	14	8	41	4	14	6	1	36	3	6	4	121	17	6	14	4	39	21	4	9	10	6	2	15	4	0	2	6	15	1	10	0	1	6	11	4	14	1	23	14	4	6	2	4	51	2	21	3	21	14	41	44	0	4	46	7	24	8	11	17	11	9	17	11	7	239	4	5	10	14	40	14	13	10	53	117	72	85	25	4	18	1	19	6	9	20	4	4	18	21	9	3	4	37	2	36	3	34	45	3	1	0	30	27	2	18	2	2	0	5	25	6	11	41	14	16	9	6
Gothamist	0	3	0	1	7	0	0	0	0	3	0	0	0	0	0	1	0	2	0	3	0	0	0	2	2	1	0	4	0	0	0	3	1	0	3	0	0	0	0	1	0	0	0	2	0	0	0	8	1	0	1	0	2	2	1	1	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	2	0	3	0	2	37	3	2	4	0	2	0	0	2	4	0	4	0	1	0	0	0	0	0	2	4	3	1	0	0	0	0	0	0	0	2	1	0	0	0	1	2	0	2	3	1	0	1	0	0	1	2	2	1	1	0	1	0	0	3	2	0	0	2	0	3	1	0	2	1	1	0	0	2	2	0	4	0	3	1	2	1	0	3	0	0	0	0	1	0	0	1	1	1	5	0	0	0	5	1	0	0	2	0	3	0	1	4	0	0	0	0	0	0	2	0	0	4	1	4	3	0	2	0	4	3	0	1	0	4	0	0	0	3	1	3	0	5	2	0	2	2	0	0	0	0	0	0	2	1	2	0	9	0	0	0	0	1	3	0	1	1	4	1	0	0	6	0	1	0	5	0	0	0	0	3	5	0	0	0	0	5	2	2	11	0	5	1	0	0	0	4	0	0	4	0	3	0	5	0	0	1	1	1	1	3	0	1	0	2	2	2	1	3	3	2	0	1	0	0	1	5	2	0	1	1	2	0	0	3	1	1	2	1	0	0	2	1	2	1	1	0	10	1	0	1	0	10	1	2	2	0	2	1	0	1	0	0	1	1	1	0	1	0	3	0	2	1	0	1	0	1	4	2	1	2	0	0	0	0	0	0	0	1	0	3	2	0	0	0	1	0	0	0	0	5	3	1	2	0	0	0	3	1	0	5	0	5	1	0	0	0	0	0	2	9	1	0	0	0	1	0	2	1	0	0	6	0	0	0	3	0	0	2	0	2	1	1	0	0	3	0	5	5	1	3	0	0	4	2	0	0	0	1	1	7	0	0	0	1	0	2	5	1	0	0	0	0	2	5	1	0	8	3	10	0	4	4	0	0	3	2	4	3	0	4	0	0	1	0	1	0	0	7	0	0	1	1	0	0	4	2	7	0	0	2	0	0	0	0	0	0	3	0	0	2	2	1	1	1	0	0	0	4	0	0	0	0	0	2	0	1	0	0	2	0	7	1	1	0	0	0	0	3	0	0	7	0	0	0	0	6	0	0	1	0	0	1	0	9	3	6	4	1	0	1	1	0	0	0	0	1	1	1	4	0	0	0	0	0	0	2	0	0	1	0	0	1	4	2	2	3	4	1	1	0	3	0	0	3	1	5	0	2
PerezHilton	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
